Country,Code,Continent region,Year,Diet low in whole grains,Diet low in fruits,Diet low in nuts and seeds,Diet low in vegetables,Population,Total Death Rate,Average death rate
Afghanistan,AFG,Asia,2019,10335,4583,3269,5148,37769499,209370,61.7827
Albania,ALB,Europe,2019,1520,217,379,51,2854191,28500,75.9234
Algeria,DZA,Africa,2019,14772,2648,5697,2741,42705368,248758,60.5498
American Samoa,ASM,Oceania,2019,16,8,0,8,47321,440,67.6233
Andorra,AND,Europe,2019,19,5,2,3,76343,461,37.9865
Angola,AGO,Africa,2019,2013,1579,449,1325,32353588,105877,16.5855
Antigua and Barbuda,ATG,North America,2019,26,6,4,8,92117,562,47.7653
Argentina,ARG,South America,2019,11347,2134,5374,3085,44938712,279007,48.822
Armenia,ARM,Asia,2019,2446,319,1031,29,2820602,36622,135.6093
Australia,AUS,Oceania,2019,5114,2457,826,1500,25340217,115179,39.0565
Austria,AUT,Europe,2019,2985,662,504,799,8879920,74571,55.7437
Azerbaijan,AZE,Asia,2019,7060,1393,2056,156,10024283,105302,106.3916
Bahrain,BHR,Asia,2019,259,31,40,14,1494188,5933,23.0225
Bangladesh,BGD,Asia,2019,15559,29969,16094,22467,165516222,970115,50.8041
Barbados,BRB,North America,2019,98,66,3,34,280180,2666,71.7396
Belarus,BLR,Europe,2019,12391,3574,4509,1039,9419758,153255,228.3817
Belgium,BEL,Europe,2019,3346,1316,437,572,11488980,86707,49.3603
Belize,BLZ,North America,2019,48,3,1,25,389095,1612,19.7895
Benin,BEN,Africa,2019,794,918,49,544,12290444,54239,18.7544
Bermuda,BMU,North America,2019,25,10,4,6,63911,469,70.4104
Bhutan,BTN,Asia,2019,105,84,50,65,767459,3938,39.6112
Bolivia,BOL,South America,2019,1604,824,77,921,11777315,53929,29.0898
Bosnia and Herzegovina,BIH,Europe,2019,1698,742,810,222,3360711,54412,103.3115
Botswana,BWA,Africa,2019,318,421,199,222,2499702,15296,46.4055
Brazil,BRA,South America,2019,33250,11488,816,17701,211782878,1152449,29.8679
Bulgaria,BGR,Europe,2019,7343,3361,2269,563,6975761,177175,194.0433
Burkina Faso,BFA,Africa,2019,1869,2223,98,1487,20951639,116939,27.0957
Burundi,BDI,Africa,2019,955,317,471,797,11874838,55599,21.3898
Cambodia,KHM,Asia,2019,1319,2836,166,2079,16207746,113008,39.4873
Cameroon,CMR,Africa,2019,1989,1203,34,995,25782341,128405,16.3717
Canada,CAN,North America,2019,9228,3645,296,2251,37601230,212170,41.0093
Central African Republic,CAF,Africa,2019,554,591,13,570,5209324,40797,33.1713
Chad,TCD,Africa,2019,1615,1363,165,1018,16126866,102015,25.8017
