Country,Code,Continent_Region,Year,Outdoor_air_pollution,Unsafe_water_source,Secondhand_smoke,Household_air_pollution_from_solid_fuels,Air_pollution,Total_Death_Rate,Population,Outdoor_air_pollution_per_100k_people,Unsafe_water_source_per_100k_people,Secondhand_smoke_per_100k_people,Household_air_pollution_from_solid_fuels_per_100k_people,Air_pollution_per_100k_people
Afghanistan,AFG,Asia,2019,9154,3751,6062,28168,37033,209370,37769499,24.23648775,9.931294032,16.04998785,74.57869642,98.0500165
Albania,ALB,Europe,2019,1556,4,774,724,2276,28500,2854191,54.51632354,0.140144791,27.11801698,25.3662071,79.74238585
Algeria,DZA,Africa,2019,22229,277,7670,66,22162,248758,42705368,52.05200433,0.648630402,17.96027141,0.154547316,51.89511539
American Samoa,ASM,Oceania,2019,8,2,15,6,14,440,47321,16.90581349,4.226453372,31.69840029,12.67936011,29.5851736
Andorra,AND,Europe,2019,14,0,8,0,14,461,76343,18.33828904,0,10.47902231,0,18.33828904
Angola,AGO,Africa,2019,5713,11143,1634,8726,14384,105877,32353588,17.6580106,34.44131142,5.050444482,26.97073351,44.45874751
Antigua and Barbuda,ATG,North America,2019,30,1,8,0,30,562,92117,32.56727857,1.085575952,8.684607619,0,32.56727857
Argentina,ARG,South America,2019,13120,315,8578,708,13778,279007,44938712,29.19531828,0.700954669,19.08821953,1.575479066,30.6595347
Armenia,ARM,Asia,2019,3243,3,1006,78,3287,36622,2820602,114.9754556,0.106360273,35.66614503,2.76536711,116.5354063
Australia,AUS,Oceania,2019,1897,40,1582,13,1907,115179,25340217,7.486123738,0.157851845,6.24304046,0.05130185,7.525586699
Austria,AUT,Europe,2019,2668,3,1206,9,2655,74571,8879920,30.04531572,0.033784088,13.58120343,0.101352264,29.89891801
Azerbaijan,AZE,Asia,2019,8004,60,3138,666,8643,105302,10024283,79.84610969,0.598546549,31.30398453,6.643866698,86.22063044
Bahrain,BHR,Asia,2019,643,6,148,2,638,5933,1494188,43.03340677,0.401555895,9.905045416,0.133851965,42.69877686
Bangladesh,BGD,Asia,2019,83912,28158,24664,94789,173515,970115,165516222,50.69714556,17.01222977,14.90125844,57.26870687,104.8326248
Barbados,BRB,North America,2019,175,3,29,0,175,2666,280180,62.45984724,1.070740238,10.35048897,0,62.45984724
Belarus,BLR,Europe,2019,8483,4,2435,96,8570,153255,9419758,90.05539208,0.042463936,25.84992099,1.019134462,90.97898269
Belgium,BEL,Europe,2019,3807,28,1360,6,3787,86707,11488980,33.13610085,0.2437118,11.8374303,0.052223957,32.962021
Belize,BLZ,North America,2019,95,9,28,30,124,1612,389095,24.41563114,2.313059793,7.196186021,7.710199309,31.86882381
Benin,BEN,Africa,2019,2419,4408,656,9891,12238,54239,12290444,19.68195779,35.86526248,5.337480078,80.4771577,99.5732945
Bermuda,BMU,North America,2019,9,0,8,1,10,469,63911,14.0820829,0,12.51740702,1.564675877,15.64675877
Bhutan,BTN,Asia,2019,336,75,68,352,660,3938,767459,43.78084041,9.77250902,8.860408178,45.86564233,85.99807938
Bolivia,BOL,South America,2019,4011,439,580,2276,6255,53929,11777315,34.05699856,3.727504953,4.924721806,19.32528764,53.11057741
Bosnia and Herzegovina,BIH,Europe,2019,3710,3,1310,1148,4837,54412,3360711,110.3933067,0.089266825,38.97984682,34.15943829,143.9278772
Botswana,BWA,Africa,2019,966,398,427,636,1596,15296,2499702,38.64460644,15.92189789,17.08203618,25.44303281,63.84761064
Brazil,BRA,South America,2019,47257,4309,27788,14016,60915,1152449,211782878,22.31389074,2.034630958,13.12098516,6.618098749,28.76294844
Bulgaria,BGR,Europe,2019,9226,9,3023,1812,11013,177175,6975761,132.2579716,0.129018182,43.33577369,25.97566058,157.8752483
Burkina Faso,BFA,Africa,2019,3499,12948,1660,24303,27717,116939,20951639,16.70036411,61.79946113,7.923007837,115.9956985,132.2903664
Burundi,BDI,Africa,2019,1092,8097,378,10004,11014,55599,11874838,9.195914925,68.18619336,3.18320132,84.24535981,92.750739
Cambodia,KHM,Asia,2019,3663,1333,3374,14034,17622,113008,16207746,22.60030482,8.22446255,20.81720678,86.58822763,108.7257907
Cameroon,CMR,Africa,2019,10482,15130,1362,12068,22433,128405,25782341,40.65573409,58.68357726,5.28268554,46.80723135,87.00916647
Canada,CAN,North America,2019,4393,59,3243,8,4381,212170,37601230,11.68312845,0.156909761,8.624717862,0.0212759,11.6512146
Central African Republic,CAF,Africa,2019,1027,7366,392,6961,7919,40797,5209324,19.71465012,141.4003045,7.524968691,133.6257833,152.0158854
Chad,TCD,Africa,2019,2734,26457,1301,19066,21709,102015,16126866,16.95307693,164.055434,8.067283501,118.2250786,134.6138797
Chile,CHL,South America,2019,5935,111,2325,330,6244,98543,19039485,31.17206164,0.582998962,12.21146475,1.733240159,32.7950047
China,CHN,Asia,2019,1516904,3270,416054,363029,1848274,13409833,1407745000,107.7541742,0.232286387,29.55464235,25.78798007,131.2932385
Colombia,COL,South America,2019,13306,528,3556,2454,15711,191401,50187406,26.51262749,1.052056765,7.08544291,4.889672919,31.30466635
Comoros,COM,Africa,2019,95,226,74,552,646,3767,790986,12.01032635,28.57193427,9.355412106,69.78631733,81.67021919
Costa Rica,CRI,North America,2019,968,55,322,104,1068,19431,5084532,19.0381337,1.081712142,6.332932903,2.045419323,21.00488305
Cote d'Ivoire,CIV,Africa,2019,6868,6214,2352,16262,23053,111121,26147551,26.26632223,23.76513196,8.995106272,62.19320502,88.1650446
Croatia,HRV,Europe,2019,3244,8,1500,169,3390,63838,4065253,79.7982315,0.19678972,36.89807252,4.157182837,83.38964389
Cuba,CUB,North America,2019,5959,199,2177,200,6144,100247,11316697,52.65670716,1.758463622,19.23706184,1.767300123,54.29145978
Cyprus,CYP,Asia,2019,462,1,160,1,458,8293,1228836,37.59655479,0.081377824,13.02045187,0.081377824,37.27104349
Czechia,CZE,Europe,2019,6562,57,2390,80,6607,133620,10671870,61.48875502,0.534114452,22.39532528,0.749634319,61.91042432
Denmark,DNK,Europe,2019,1475,10,718,2,1467,43825,5814422,25.36795575,0.171986141,12.3486049,0.034397228,25.23036684
Djibouti,DJI,Africa,2019,460,264,116,201,658,4551,1073994,42.83077932,24.58114291,10.80080522,18.71518835,61.2666365
Dominica,DMA,North America,2019,33,1,8,4,37,635,71428,46.2003696,1.4000112,11.2000896,5.6000448,51.8004144
Dominican Republic,DOM,North America,2019,3832,450,999,939,4766,65898,10881882,35.2144969,4.135314094,9.180397288,8.629022075,43.79757105
Ecuador,ECU,South America,2019,4295,276,724,476,4762,68009,17343740,24.76397824,1.591352269,4.174416821,2.744506087,27.45659241
El Salvador,SLV,North America,2019,1969,221,374,618,2574,33639,6280217,31.35241983,3.518986685,5.955208236,9.840424304,40.98584492
Equatorial Guinea,GNQ,Africa,2019,403,97,47,84,486,3674,1553031,25.94925665,6.245850856,3.026340105,5.40877806,31.29364449
Eritrea,ERI,Africa,2019,1424,3621,372,3936,5336,28504,3498818,40.69945907,103.4920936,10.63216206,112.4951341,152.5086472
Estonia,EST,Europe,2019,167,1,204,40,207,16275,1326898,12.5857451,0.075363743,15.37420359,3.014549724,15.60029482
Eswatini,SWZ,Africa,2019,354,396,87,482,832,7449,1169613,30.26642146,33.85735282,7.438357816,41.21021227,71.13464026
Ethiopia,ETH,Africa,2019,9657,43174,1788,67827,77020,347063,114120594,8.462101065,37.83190964,1.566763664,59.43449611,67.49000973
Fiji,FJI,Oceania,2019,331,68,344,302,634,11174,918465,36.03839014,7.403657189,37.45379519,32.8809481,69.02821556
Finland,FIN,Europe,2019,415,1,402,2,417,48634,5521606,7.515929242,0.018110673,7.280490495,0.036221346,7.552150588
France,FRA,Europe,2019,14378,88,4054,37,14334,402771,67388001,21.33614262,0.130587046,6.015907788,0.054905917,21.27084909
Gabon,GAB,Africa,2019,828,192,117,69,895,8831,2242785,36.91838495,8.560784917,5.216728309,3.07653208,39.90574219
Georgia,GEO,Asia,2019,3211,7,1578,1594,4787,69032,3720161,86.31346869,0.188163899,42.41751903,42.84760794,128.6772266
Germany,DEU,Europe,2019,29401,106,8062,30,29252,879851,83092962,35.38326146,0.127567964,9.702386106,0.036104141,35.20394423
Ghana,GHA,Africa,2019,12869,5599,1232,11065,23792,145698,31522290,40.82507965,17.76203442,3.908345491,35.10214518,75.47674994
Greece,GRC,Europe,2019,6226,1,2616,41,6219,118223,10721582,58.06978858,0.009326982,24.39938434,0.382406253,58.00449971
Greenland,GRL,North America,2019,7,0,12,0,7,391,56225,12.44997777,0,21.34281903,0,12.44997777
Grenada,GRD,North America,2019,51,1,11,2,54,787,122724,41.55666373,0.814836544,8.963201982,1.629673088,44.00117336
Guam,GUM,Oceania,2019,31,4,42,5,36,1226,168624,18.38409716,2.372141569,24.90748648,2.965176962,21.34927412
Guatemala,GTM,North America,2019,3789,2027,1031,5296,9065,72155,16604026,22.81976672,12.20788259,6.209337422,31.89587875,54.59519276
Guinea,GIN,Africa,2019,2570,5562,1198,13752,16242,68799,12877539,19.95722941,43.19148247,9.303019777,106.790591,126.1265837
Guinea-Bissau,GNB,Africa,2019,369,1053,143,1639,1998,10013,1970457,18.72662027,53.4393798,7.257199726,83.17867378,101.3977976
Guyana,GUY,South America,2019,411,49,117,55,466,6902,798753,51.4552058,6.134562249,14.64783231,6.885733137,58.34093894
Haiti,HTI,North America,2019,1913,3502,842,12151,14018,85291,11160438,17.14090433,31.37869679,7.544506766,108.8756552,125.6043894
Honduras,HND,North America,2019,1882,779,817,3875,5720,48852,9958829,18.89780415,7.822204799,8.203775765,38.91019717,57.4364717
Hungary,HUN,Europe,2019,7322,59,3600,1347,8617,162490,9771141,74.93495386,0.60381894,36.84318955,13.78549342,88.18826788
Iceland,ISL,Europe,2019,19,0,30,0,19,1598,360563,5.269536808,0,8.320321275,0,5.269536808
India,IND,Asia,2019,1147669,508290,240098,606890,1667331,9986827,1383112050,82.97729746,36.74973405,17.35925878,43.87858525,120.5492353
Indonesia,IDN,Asia,2019,110127,45774,52555,76867,186267,1914553,269582878,40.85088816,16.979565,19.49493246,28.51330937,69.09452165
Iraq,IRQ,Asia,2019,25637,382,6635,64,25626,250157,41563520,61.68149377,0.919075189,15.96351801,0.153981183,61.65502826
