Country,Code,Continent region,Year,Environmental factor,Death rate
Afghanistan,AFG,Asia,2019,Outdoor air pollution,24.23648775
Afghanistan,AFG,Asia,2019,Unsafe water source,9.931294032
Afghanistan,AFG,Asia,2019,Secondhand smoke,16.04998785
Afghanistan,AFG,Asia,2019,Air pollution from solid fuels,74.57869642
Albania,ALB,Europe,2019,Outdoor air pollution,54.51632354
Albania,ALB,Europe,2019,Unsafe water source,0.140144791
Albania,ALB,Europe,2019,Secondhand smoke,27.11801698
Albania,ALB,Europe,2019,Air pollution from solid fuels,25.3662071
Algeria,DZA,Africa,2019,Outdoor air pollution,52.05200433
Algeria,DZA,Africa,2019,Unsafe water source,0.648630402
Algeria,DZA,Africa,2019,Secondhand smoke,17.96027141
Algeria,DZA,Africa,2019,Air pollution from solid fuels,0.154547316
American Samoa,ASM,Oceania,2019,Outdoor air pollution,16.90581349
American Samoa,ASM,Oceania,2019,Unsafe water source,4.226453372
American Samoa,ASM,Oceania,2019,Secondhand smoke,31.69840029
American Samoa,ASM,Oceania,2019,Air pollution from solid fuels,12.67936011
Andorra,AND,Europe,2019,Outdoor air pollution,18.33828904
Andorra,AND,Europe,2019,Unsafe water source,0
Andorra,AND,Europe,2019,Secondhand smoke,10.47902231
Andorra,AND,Europe,2019,Air pollution from solid fuels,0
Angola,AGO,Africa,2019,Outdoor air pollution,17.6580106
Angola,AGO,Africa,2019,Unsafe water source,34.44131142
Angola,AGO,Africa,2019,Secondhand smoke,5.050444482
Angola,AGO,Africa,2019,Air pollution from solid fuels,26.97073351
Antigua and Barbuda,ATG,North America,2019,Outdoor air pollution,32.56727857
Antigua and Barbuda,ATG,North America,2019,Unsafe water source,1.085575952
Antigua and Barbuda,ATG,North America,2019,Secondhand smoke,8.684607619
Antigua and Barbuda,ATG,North America,2019,Air pollution from solid fuels,0
Argentina,ARG,South America,2019,Outdoor air pollution,29.19531828
Argentina,ARG,South America,2019,Unsafe water source,0.700954669
Argentina,ARG,South America,2019,Secondhand smoke,19.08821953
Argentina,ARG,South America,2019,Air pollution from solid fuels,1.575479066
Armenia,ARM,Asia,2019,Outdoor air pollution,114.9754556
Armenia,ARM,Asia,2019,Unsafe water source,0.106360273
Armenia,ARM,Asia,2019,Secondhand smoke,35.66614503
Armenia,ARM,Asia,2019,Air pollution from solid fuels,2.76536711
Australia,AUS,Oceania,2019,Outdoor air pollution,7.486123738
Australia,AUS,Oceania,2019,Unsafe water source,0.157851845
Australia,AUS,Oceania,2019,Secondhand smoke,6.24304046
Australia,AUS,Oceania,2019,Air pollution from solid fuels,0.05130185
Austria,AUT,Europe,2019,Outdoor air pollution,30.04531572
Austria,AUT,Europe,2019,Unsafe water source,0.033784088
Austria,AUT,Europe,2019,Secondhand smoke,13.58120343
Austria,AUT,Europe,2019,Air pollution from solid fuels,0.101352264
