Country,Code,Continent region,Year,High systolic blood pressure,Diet high in sodium,High fasting plasma glucose,Population,Total Death Rate
Afghanistan,AFG,Asia,2019,36017,1422,24888,37769499,209370
Albania,ALB,Europe,2019,7609,2445,2158,2854191,28500
Algeria,DZA,Africa,2019,58602,1910,38978,42705368,248758
American Samoa,ASM,Oceania,2019,87,6,102,47321,440
Andorra,AND,Europe,2019,101,6,54,76343,461
Angola,AGO,Africa,2019,17686,1289,10753,32353588,105877
Antigua and Barbuda,ATG,North America,2019,130,11,130,92117,562
Argentina,ARG,South America,2019,59080,7258,39517,44938712,279007
Armenia,ARM,Asia,2019,7789,1062,5442,2820602,36622
Australia,AUS,Oceania,2019,25498,1150,17650,25340217,115179
Austria,AUT,Europe,2019,19769,2389,10910,8879920,74571
Azerbaijan,AZE,Asia,2019,23865,3168,14434,10024283,105302
Bahrain,BHR,Asia,2019,825,32,1278,1494188,5933
Bangladesh,BGD,Asia,2019,182937,20995,101377,165516222,970115
Barbados,BRB,North America,2019,555,31,631,280180,2666
Belarus,BLR,Europe,2019,44187,2407,11313,9419758,153255
Belgium,BEL,Europe,2019,18655,1980,10913,11488980,86707
Belize,BLZ,North America,2019,301,26,300,389095,1612
Benin,BEN,Africa,2019,7361,802,4696,12290444,54239
Bermuda,BMU,North America,2019,110,10,87,63911,469
Bhutan,BTN,Asia,2019,702,83,477,767459,3938
Bolivia,BOL,South America,2019,9092,1463,9354,11777315,53929
Bosnia and Herzegovina,BIH,Europe,2019,10643,3306,9091,3360711,54412
Botswana,BWA,Africa,2019,2510,165,2206,2499702,15296
Brazil,BRA,South America,2019,239416,30814,174198,211782878,1152449
Bulgaria,BGR,Europe,2019,47209,14933,21530,6975761,177175
Burkina Faso,BFA,Africa,2019,13233,1291,8600,20951639,116939
Burundi,BDI,Africa,2019,6782,1102,3681,11874838,55599
Cambodia,KHM,Asia,2019,14627,3785,14155,16207746,113008
Cameroon,CMR,Africa,2019,18648,1656,11638,25782341,128405
Canada,CAN,North America,2019,41799,4296,30727,37601230,212170
Central African Republic,CAF,Africa,2019,4899,355,3312,5209324,40797
Chad,TCD,Africa,2019,8252,807,5082,16126866,102015
Chile,CHL,South America,2019,21801,2891,14933,19039485,98543
China,CHN,Asia,2019,2599879,855385,1067554,1407745000,13409833
Colombia,COL,South America,2019,40499,10421,34180,50187406,191401
Comoros,COM,Africa,2019,737,124,386,790986,3767
Costa Rica,CRI,North America,2019,4858,727,3225,5084532,19431
Cote d'Ivoire,CIV,Africa,2019,16175,1524,9522,26147551,111121
Croatia,HRV,Europe,2019,14718,4473,9287,4065253,63838
Cuba,CUB,North America,2019,19438,1822,15658,11316697,100247
Cyprus,CYP,Asia,2019,1835,142,1606,1228836,8293
Czechia,CZE,Europe,2019,24817,8719,23555,10671870,133620
Denmark,DNK,Europe,2019,8695,647,5281,5814422,43825
Djibouti,DJI,Africa,2019,828,128,467,1073994,4551
Dominica,DMA,North America,2019,153,13,138,71428,635
Dominican Republic,DOM,North America,2019,15595,1335,9385,10881882,65898
Ecuador,ECU,South America,2019,12847,1986,13287,17343740,68009
El Salvador,SLV,North America,2019,7398,1090,7159,6280217,33639
Equatorial Guinea,GNQ,Africa,2019,711,51,496,1553031,3674
Eritrea,ERI,Africa,2019,3957,698,2416,3498818,28504
Estonia,EST,Europe,2019,5418,197,1369,1326898,16275
Eswatini,SWZ,Africa,2019,1128,74,1203,1169613,7449
Ethiopia,ETH,Africa,2019,41734,7993,25738,114120594,347063
Fiji,FJI,Oceania,2019,1833,274,2740,918465,11174
Finland,FIN,Europe,2019,13799,997,9075,5521606,48634
France,FRA,Europe,2019,89170,6307,40295,67388001,402771
Gabon,GAB,Africa,2019,1805,138,1420,2242785,8831
Georgia,GEO,Asia,2019,18802,2490,10104,3720161,69032
Germany,DEU,Europe,2019,224494,15941,150713,83092962,879851
Ghana,GHA,Africa,2019,26843,3379,17728,31522290,145698
Greece,GRC,Europe,2019,29056,2359,15954,10721582,118223
Greenland,GRL,North America,2019,60,7,42,56225,391
Grenada,GRD,North America,2019,164,13,178,122724,787
Guam,GUM,Oceania,2019,307,49,209,168624,1226
Guatemala,GTM,North America,2019,11308,1751,14506,16604026,72155
Guinea,GIN,Africa,2019,8995,849,5476,12877539,68799
Guinea-Bissau,GNB,Africa,2019,1506,137,873,1970457,10013
Guyana,GUY,South America,2019,1478,119,1444,798753,6902
Haiti,HTI,North America,2019,17247,1228,12977,11160438,85291
Honduras,HND,North America,2019,9885,1491,7525,9958829,48852
Hungary,HUN,Europe,2019,34377,12209,22659,9771141,162490
Iceland,ISL,Europe,2019,374,37,228,360563,1598
India,IND,Asia,2019,1471889,174797,1121914,1383112050,9986827
Indonesia,IDN,Asia,2019,477723,91668,259251,269582878,1914553
Iraq,IRQ,Asia,2019,55716,1845,38016,41563520,250157
Ireland,IRL,Europe,2019,5786,336,3655,4934340,25504
Israel,ISR,Asia,2019,8255,609,7384,9054000,37688
Italy,ITA,Europe,2019,123001,11912,95753,59729081,558249
Jamaica,JAM,North America,2019,3852,331,4813,2813773,19347
Japan,JPN,Asia,2019,196385,38087,101141,126633000,842925
Jordan,JOR,Asia,2019,8168,286,6176,10698683,38837
Kazakhstan,KAZ,Asia,2019,43243,4973,22698,18513673,173146
Kenya,KEN,Africa,2019,27284,2923,13989,50951450,175566
Kiribati,KIR,Oceania,2019,177,28,284,124241,1521
Kuwait,KWT,Asia,2019,2534,191,1787,4441100,13402
Latvia,LVA,Europe,2019,9326,637,2924,1913822,30631
Lebanon,LBN,Asia,2019,9757,334,7144,5781907,45273
Lesotho,LSO,Africa,2019,2660,189,2586,2225702,20029
Liberia,LBR,Africa,2019,2955,259,1946,4985289,19372
Libya,LBY,Africa,2019,8654,285,5810,6569088,38115
Lithuania,LTU,Europe,2019,12457,937,3124,2794137,40225
Luxembourg,LUX,Europe,2019,763,56,567,620001,3398
Madagascar,MDG,Africa,2019,22665,3558,7743,27533134,127057
Malawi,MWI,Africa,2019,11117,1650,6619,18867337,72259
Malaysia,MYS,Asia,2019,41081,7908,24609,32804020,168244
Maldives,MDV,Asia,2019,338,66,240,504508,1377
Mali,MLI,Africa,2019,11212,1116,7433,20567424,102732
Malta,MLT,Europe,2019,847,78,700,504062,3614
Marshall Islands,MHL,Oceania,2019,83,14,104,44728,493
Mauritania,MRT,Africa,2019,2666,236,1394,4383849,15573
Mauritius,MUS,Africa,2019,2714,532,3604,1265985,13563
Mexico,MEX,North America,2019,129019,13030,157908,125085311,691863
Moldova,MDA,Europe,2019,14997,793,4426,2664224,49878
